FILENAME,FILE_SIZE,DE_ENCRYPTION_TIME,ENCRYPTION_TIME,SIGN_TIME,DE_DECRYPTION_TIME,DECRYPTION_TIME,VERIFY_TIME,DH_ALGORITHM,CIPHER_ALGORITHM
1075.txt,1048575,1,2,6,1,7,6,ECCDH,AES[128]
832.txt,1048575,1,2,6,1,7,6,ECCDH,AES[128]
144.txt,1048575,1,2,6,1,7,6,ECCDH,AES[128]
1495.txt,1048575,1,2,6,1,7,6,ECCDH,AES[128]
930.txt,1048575,1,2,6,1,7,6,ECCDH,AES[128]
259.txt,1048575,1,2,7,1,7,6,ECCDH,AES[128]
308.txt,1048575,1,2,6,1,7,6,ECCDH,AES[128]
128.txt,1048575,1,2,6,1,7,6,ECCDH,AES[128]
114.txt,1048575,1,2,6,1,7,6,ECCDH,AES[128]
806.txt,1048575,1,2,6,1,7,6,ECCDH,AES[128]
1482.txt,1048575,1,2,6,1,7,6,ECCDH,AES[128]
981.txt,1048575,1,2,6,1,7,6,ECCDH,AES[128]
424.txt,1048575,1,2,6,1,7,6,ECCDH,AES[128]
1129.txt,1048575,1,2,6,1,7,6,ECCDH,AES[128]
306.txt,1048575,1,2,6,1,7,6,ECCDH,AES[128]
338.txt,1048575,1,2,6,1,7,6,ECCDH,AES[128]
496.txt,1048575,1,2,6,1,7,6,ECCDH,AES[128]
859.txt,1048575,1,2,6,1,7,6,ECCDH,AES[128]
393.txt,1048575,1,2,6,1,7,6,ECCDH,AES[128]
86.txt,1048575,1,2,6,1,7,6,ECCDH,AES[128]
801.txt,1048575,1,3,6,1,7,6,ECCDH,AES[128]
1028.txt,1048575,1,2,6,1,7,6,ECCDH,AES[128]
804.txt,1048575,1,2,7,1,7,6,ECCDH,AES[128]
378.txt,1048575,1,2,6,1,7,6,ECCDH,AES[128]
1467.txt,1048575,1,17,7,1,7,6,ECCDH,AES[128]
1031.txt,1048575,1,2,7,1,7,6,ECCDH,AES[128]
1187.txt,1048575,1,10,21,1,12,7,ECCDH,AES[128]
343.txt,1048575,1,2,6,1,8,5,ECCDH,AES[128]
576.txt,1048575,1,2,6,1,7,6,ECCDH,AES[128]
762.txt,1048575,1,2,6,1,7,6,ECCDH,AES[128]
752.txt,1048575,1,2,6,1,7,6,ECCDH,AES[128]
1136.txt,1048575,1,2,6,1,8,6,ECCDH,AES[128]
404.txt,1048575,1,2,6,1,7,5,ECCDH,AES[128]
705.txt,1048575,1,2,6,1,7,6,ECCDH,AES[128]
208.txt,1048575,1,2,6,1,7,6,ECCDH,AES[128]
841.txt,1048575,1,3,6,1,7,6,ECCDH,AES[128]
433.txt,1048575,1,2,7,1,7,6,ECCDH,AES[128]
1223.txt,1048575,1,2,6,1,7,6,ECCDH,AES[128]
475.txt,1048575,1,2,6,1,7,6,ECCDH,AES[128]
1112.txt,1048575,1,2,6,1,8,6,ECCDH,AES[128]
1234.txt,1048575,1,2,6,1,7,6,ECCDH,AES[128]
1178.txt,1048575,1,2,6,1,8,5,ECCDH,AES[128]
369.txt,1048575,1,5,6,1,7,6,ECCDH,AES[128]
265.txt,1048575,1,2,6,1,7,6,ECCDH,AES[128]
1313.txt,1048575,1,2,6,1,7,6,ECCDH,AES[128]
379.txt,1048575,1,3,6,1,7,6,ECCDH,AES[128]
1057.txt,1048575,1,2,7,1,7,6,ECCDH,AES[128]
600.txt,1048575,1,3,6,1,7,6,ECCDH,AES[128]
746.txt,1048575,1,3,6,1,7,6,ECCDH,AES[128]
1cf2d3690bef.txt,31457264,1,68,174,1,216,173,ECCDH,AES[128]
978.txt,1048575,1,2,6,1,7,6,ECCDH,AES[128]
820.txt,1048575,1,2,6,1,7,6,ECCDH,AES[128]
84.txt,1048575,1,2,6,1,7,6,ECCDH,AES[128]
385.txt,1048575,1,2,7,1,7,5,ECCDH,AES[128]
500.txt,1048575,1,3,6,1,7,6,ECCDH,AES[128]
243.txt,1048575,1,2,6,1,8,6,ECCDH,AES[128]
422.txt,1048575,1,2,6,1,7,6,ECCDH,AES[128]
1072.txt,1048575,1,2,7,1,7,6,ECCDH,AES[128]
27.txt,1048575,1,10,23,1,12,8,ECCDH,AES[128]
789.txt,1048575,1,2,6,1,7,6,ECCDH,AES[128]
1354.txt,1048575,1,2,7,1,7,6,ECCDH,AES[128]
68.txt,1048575,1,2,6,1,99,6,ECCDH,AES[128]
392.txt,1048575,1,2,6,1,7,6,ECCDH,AES[128]
838.txt,1048575,1,2,6,1,7,6,ECCDH,AES[128]
982.txt,1048575,1,3,6,1,7,6,ECCDH,AES[128]
22.txt,1048575,1,2,6,1,7,6,ECCDH,AES[128]
74.txt,1048575,1,2,6,1,7,6,ECCDH,AES[128]
1236.txt,1048575,1,2,6,1,7,6,ECCDH,AES[128]
571.txt,1048575,1,2,6,1,7,6,ECCDH,AES[128]
933.txt,1048575,1,2,6,1,7,6,ECCDH,AES[128]
1202.txt,1048575,1,2,6,1,7,6,ECCDH,AES[128]
00,1048575,1,2,7,1,7,5,ECCDH,AES[128]
741.txt,1048575,1,2,6,1,7,6,ECCDH,AES[128]
794.txt,1048575,1,2,7,1,7,6,ECCDH,AES[128]
998.txt,1048575,1,10,23,1,12,8,ECCDH,AES[128]
1497.txt,1048575,1,2,7,1,7,6,ECCDH,AES[128]
720.txt,1048575,1,2,6,1,7,6,ECCDH,AES[128]
321.txt,1048575,1,3,6,1,7,6,ECCDH,AES[128]
724.txt,1048575,1,2,6,1,7,6,ECCDH,AES[128]
451.txt,1048575,1,2,6,1,7,6,ECCDH,AES[128]
1002.txt,1048575,1,3,6,1,7,6,ECCDH,AES[128]
1346.txt,1048575,1,2,6,1,8,6,ECCDH,AES[128]
491.txt,1048575,1,2,7,1,7,6,ECCDH,AES[128]
1207.txt,1048575,1,2,6,1,7,6,ECCDH,AES[128]
1012.txt,1048575,1,2,6,1,7,6,ECCDH,AES[128]
1073.txt,1048575,1,3,6,1,7,6,ECCDH,AES[128]
501.txt,1048575,1,2,6,1,7,6,ECCDH,AES[128]
864.txt,1048575,1,2,6,1,7,6,ECCDH,AES[128]
963.txt,1048575,1,2,7,1,7,5,ECCDH,AES[128]
02.txt,2097151,1,4,12,1,14,12,ECCDH,AES[128]
1217.txt,1048575,1,10,17,1,11,7,ECCDH,AES[128]
51.txt,1048575,1,2,6,1,7,5,ECCDH,AES[128]
278.txt,1048575,1,2,6,1,7,6,ECCDH,AES[128]
25.txt,1048575,1,2,6,1,7,6,ECCDH,AES[128]
251.txt,1048575,1,2,6,1,7,6,ECCDH,AES[128]
135.txt,1048575,1,2,6,1,7,6,ECCDH,AES[128]
938.txt,1048575,1,3,6,1,7,6,ECCDH,AES[128]
884.txt,1048575,1,2,6,1,7,6,ECCDH,AES[128]
1348.txt,1048575,1,2,6,1,7,6,ECCDH,AES[128]
519.txt,1048575,1,2,6,1,7,6,ECCDH,AES[128]
387.txt,1048575,1,2,7,1,7,5,ECCDH,AES[128]
1111.txt,1048575,1,2,6,1,7,6,ECCDH,AES[128]
706.txt,1048575,1,2,6,1,7,6,ECCDH,AES[128]
355.txt,1048575,1,2,6,1,7,6,ECCDH,AES[128]
180.txt,1048575,1,2,6,1,7,6,ECCDH,AES[128]
1273.txt,1048575,1,2,6,1,7,6,ECCDH,AES[128]
482.txt,1048575,1,4,12,1,11,7,ECCDH,AES[128]
722.txt,1048575,1,2,6,1,8,5,ECCDH,AES[128]
97.txt,1048575,1,2,6,1,7,6,ECCDH,AES[128]
24.txt,1048575,1,3,6,1,7,6,ECCDH,AES[128]
241.txt,1048575,1,2,6,1,7,6,ECCDH,AES[128]
240.txt,1048575,1,2,6,1,7,6,ECCDH,AES[128]
593.txt,1048575,1,2,7,1,7,6,ECCDH,AES[128]
294.txt,1048575,1,2,6,1,7,6,ECCDH,AES[128]
1491.txt,1048575,1,2,6,1,7,6,ECCDH,AES[128]
1026.txt,1048575,1,2,6,1,7,6,ECCDH,AES[128]
646.txt,1048575,1,2,6,1,7,6,ECCDH,AES[128]
1179.txt,1048575,1,2,6,1,7,6,ECCDH,AES[128]
257.txt,1048575,1,2,6,1,7,6,ECCDH,AES[128]
403.txt,1048575,1,2,6,1,7,6,ECCDH,AES[128]
1079.txt,1048575,1,2,6,1,7,6,ECCDH,AES[128]
839.txt,1048575,1,2,6,1,8,5,ECCDH,AES[128]
1376.txt,1048575,1,11,20,1,12,7,ECCDH,AES[128]
output,12511,1,0,0,1,1,0,ECCDH,AES[128]
96.txt,1048575,1,2,7,1,7,6,ECCDH,AES[128]
1044.txt,1048575,1,2,6,1,7,6,ECCDH,AES[128]
16.txt,1048575,1,2,6,1,7,6,ECCDH,AES[128]
327.txt,1048575,1,3,6,1,32,6,ECCDH,AES[128]
328.txt,1048575,1,2,6,1,7,6,ECCDH,AES[128]
747.txt,1048575,1,2,6,1,7,6,ECCDH,AES[128]
06.txt,1048575,1,2,6,1,7,6,ECCDH,AES[128]
1144.txt,1048575,1,2,6,1,7,6,ECCDH,AES[128]
164.txt,1048575,1,2,6,1,7,6,ECCDH,AES[128]
597.txt,1048575,1,2,6,1,7,6,ECCDH,AES[128]
580.txt,1048575,1,2,6,1,7,6,ECCDH,AES[128]
858.txt,1048575,1,2,7,1,7,6,ECCDH,AES[128]
834.txt,1048575,1,2,6,1,7,5,ECCDH,AES[128]
968.txt,1048575,1,2,6,1,7,6,ECCDH,AES[128]
536.txt,1048575,1,4,11,1,12,9,ECCDH,AES[128]
694.txt,1048575,1,3,6,1,7,6,ECCDH,AES[128]
1259.txt,1048575,1,2,7,1,7,6,ECCDH,AES[128]
1475.txt,1048575,1,2,6,1,8,6,ECCDH,AES[128]
1017.txt,1048575,1,2,6,1,7,6,ECCDH,AES[128]
1147.txt,1048575,1,2,6,1,7,6,ECCDH,AES[128]
386.txt,1048575,1,2,6,1,7,6,ECCDH,AES[128]
1113.txt,1048575,1,2,6,1,7,6,ECCDH,AES[128]
179.txt,1048575,1,2,7,1,7,5,ECCDH,AES[128]
874.txt,1048575,1,2,6,1,7,6,ECCDH,AES[128]
394.txt,1048575,1,2,7,1,7,6,ECCDH,AES[128]
939.txt,1048575,1,2,6,1,8,6,ECCDH,AES[128]
1128.txt,1048575,1,2,6,1,7,6,ECCDH,AES[128]
1003.txt,1048575,1,2,6,1,7,6,ECCDH,AES[128]
random.csv,16802739,1,36,93,1,113,93,ECCDH,AES[128]
1184.txt,1048575,1,3,6,1,7,6,ECCDH,AES[128]
698.txt,1048575,1,3,9,1,10,7,ECCDH,AES[128]
178.txt,1048575,1,2,6,1,7,6,ECCDH,AES[128]
523.txt,1048575,1,2,6,1,7,6,ECCDH,AES[128]
471.txt,1048575,1,2,6,1,8,5,ECCDH,AES[128]
f06e45db81fa.txt,1044,1,0,0,1,0,0,ECCDH,AES[128]
1350.txt,1048575,1,2,6,1,7,6,ECCDH,AES[128]
408.txt,1048575,1,2,6,1,7,6,ECCDH,AES[128]
613.txt,1048575,1,2,6,1,8,6,ECCDH,AES[128]
952.txt,1048575,1,2,6,1,7,6,ECCDH,AES[128]
599.txt,1048575,1,2,6,1,7,6,ECCDH,AES[128]
1194.txt,1048575,1,2,6,1,7,6,ECCDH,AES[128]
127.txt,1048575,1,2,6,1,8,6,ECCDH,AES[128]
570.txt,1048575,1,2,6,1,7,6,ECCDH,AES[128]
149.txt,1048575,1,3,6,1,7,6,ECCDH,AES[128]
790.txt,1048575,1,2,6,1,7,6,ECCDH,AES[128]
1413.txt,1048575,1,2,6,1,7,6,ECCDH,AES[128]
309.txt,1048575,1,10,20,1,12,7,ECCDH,AES[128]
704.txt,1048575,1,2,6,1,7,6,ECCDH,AES[128]
272.txt,1048575,1,2,6,1,7,6,ECCDH,AES[128]
281.txt,1048575,1,2,6,1,7,6,ECCDH,AES[128]
1329.txt,1048575,1,2,6,1,7,6,ECCDH,AES[128]
48.txt,1048575,1,2,6,1,7,6,ECCDH,AES[128]
649.txt,1048575,1,2,6,1,7,6,ECCDH,AES[128]
407.txt,1048575,1,2,6,1,7,6,ECCDH,AES[128]
867.txt,1048575,1,2,6,1,7,6,ECCDH,AES[128]
339.txt,1048575,1,2,6,1,7,6,ECCDH,AES[128]
1243.txt,1048575,1,2,6,1,7,6,ECCDH,AES[128]
1064.txt,1048575,1,2,6,1,8,6,ECCDH,AES[128]
400.txt,1048575,1,2,6,1,7,6,ECCDH,AES[128]
745.txt,1048575,1,2,6,1,7,6,ECCDH,AES[128]
176.txt,1048575,1,2,6,1,7,6,ECCDH,AES[128]
1200.txt,1048575,1,3,6,1,7,6,ECCDH,AES[128]
513.txt,1048575,1,10,17,1,11,7,ECCDH,AES[128]
635.txt,1048575,1,2,6,1,7,6,ECCDH,AES[128]
1186.txt,1048575,1,2,6,1,7,5,ECCDH,AES[128]
1138.txt,1048575,1,2,6,1,7,6,ECCDH,AES[128]
538.txt,1048575,1,2,6,1,7,5,ECCDH,AES[128]
667.txt,1048575,1,2,6,1,7,6,ECCDH,AES[128]
644.txt,1048575,1,2,6,1,7,5,ECCDH,AES[128]
215.txt,1048575,1,2,6,1,7,6,ECCDH,AES[128]
1290.txt,1048575,1,2,6,1,7,6,ECCDH,AES[128]
689.txt,1048575,1,2,6,1,7,6,ECCDH,AES[128]
1080.txt,1048575,1,90,6,1,8,5,ECCDH,AES[128]
ad87c86e2641.txt,31457277,1,68,174,1,213,174,ECCDH,AES[128]
676.txt,1048575,1,2,6,1,7,6,ECCDH,AES[128]
39.txt,1048575,1,2,6,1,7,6,ECCDH,AES[128]
98.txt,1048575,1,2,6,1,7,6,ECCDH,AES[128]
1177.txt,1048575,1,2,6,1,7,6,ECCDH,AES[128]
756.txt,1048575,1,2,6,1,7,6,ECCDH,AES[128]
376.txt,1048575,1,2,6,1,7,6,ECCDH,AES[128]
1000.txt,1048575,1,2,6,1,7,6,ECCDH,AES[128]
468.txt,1048575,1,2,7,1,7,6,ECCDH,AES[128]
1412.txt,1048575,1,2,6,1,7,6,ECCDH,AES[128]
125.txt,1048575,1,2,6,1,7,6,ECCDH,AES[128]
1479.txt,1048575,1,2,6,1,7,6,ECCDH,AES[128]
116.txt,1048575,1,2,7,1,7,6,ECCDH,AES[128]
1059.txt,1048575,1,2,6,1,7,6,ECCDH,AES[128]
647.txt,1048575,1,2,6,1,7,6,ECCDH,AES[128]
201.txt,1048575,1,2,6,1,7,5,ECCDH,AES[128]
1319.txt,1048575,1,2,6,1,7,6,ECCDH,AES[128]
358.txt,1048575,1,2,6,1,7,6,ECCDH,AES[128]
224.txt,1048575,1,2,6,1,7,6,ECCDH,AES[128]
808.txt,1048575,1,2,6,1,8,6,ECCDH,AES[128]
372.txt,1048575,1,2,6,1,7,6,ECCDH,AES[128]
292.txt,1048575,1,10,17,1,11,7,ECCDH,AES[128]
464.txt,1048575,1,2,6,1,7,6,ECCDH,AES[128]
1398.txt,1048575,1,3,6,1,7,6,ECCDH,AES[128]
585.txt,1048575,1,2,6,1,7,6,ECCDH,AES[128]
856.txt,1048575,1,2,6,1,7,6,ECCDH,AES[128]
768.txt,1048575,1,3,6,1,7,6,ECCDH,AES[128]
950.txt,1048575,1,2,6,1,7,6,ECCDH,AES[128]
233.txt,1048575,1,2,6,1,7,6,ECCDH,AES[128]
170.txt,1048575,1,2,6,1,7,6,ECCDH,AES[128]
1349.txt,1048575,1,2,6,1,7,6,ECCDH,AES[128]
579.txt,1048575,1,2,6,1,7,6,ECCDH,AES[128]
902.txt,1048575,1,2,6,1,7,6,ECCDH,AES[128]
473.txt,1048575,1,2,6,1,7,6,ECCDH,AES[128]
346.txt,1048575,1,2,6,1,7,6,ECCDH,AES[128]
1307.txt,1048575,1,3,6,1,7,6,ECCDH,AES[128]
26.txt,1048575,1,2,6,1,7,6,ECCDH,AES[128]
1065.txt,1048575,1,5,12,1,9,7,ECCDH,AES[128]
1333.txt,1048575,1,3,6,1,7,6,ECCDH,AES[128]
587.txt,1048575,1,2,6,1,7,6,ECCDH,AES[128]
169.txt,1048575,1,2,6,1,7,6,ECCDH,AES[128]
360.txt,1048575,1,2,6,1,7,6,ECCDH,AES[128]
1156.txt,1048575,1,2,6,1,7,6,ECCDH,AES[128]
920.txt,1048575,1,2,6,1,7,6,ECCDH,AES[128]
ba3d0091ca03e2b6ae323f33.txt,100816566,1,219,555,1,692,555,ECCDH,AES[128]
227.txt,1048575,1,2,6,1,7,6,ECCDH,AES[128]
891.txt,1048575,1,3,6,1,7,5,ECCDH,AES[128]
663.txt,1048575,1,2,6,1,7,6,ECCDH,AES[128]
818.txt,1048575,1,3,6,1,7,6,ECCDH,AES[128]
1226.txt,1048575,1,2,6,1,7,6,ECCDH,AES[128]
210.txt,1048575,1,2,6,1,7,6,ECCDH,AES[128]
711.txt,1048575,1,2,7,1,7,6,ECCDH,AES[128]
3342d49eb4f6.txt,62914528,1,274,348,1,431,346,ECCDH,AES[128]
617.txt,1048575,1,5,15,1,13,8,ECCDH,AES[128]
421.txt,1048575,1,3,6,1,7,6,ECCDH,AES[128]
42.txt,1048575,1,3,6,1,7,6,ECCDH,AES[128]
484.txt,1048575,1,2,6,1,8,5,ECCDH,AES[128]
641.txt,1048575,1,2,6,1,7,6,ECCDH,AES[128]
1137.txt,1048575,1,2,6,1,7,6,ECCDH,AES[128]
980.txt,1048575,1,3,6,1,7,6,ECCDH,AES[128]
310.txt,1048575,1,2,6,1,7,6,ECCDH,AES[128]
775.txt,1048575,1,2,6,1,7,6,ECCDH,AES[128]
113.txt,1048575,1,2,6,1,7,6,ECCDH,AES[128]
1237.txt,1048575,1,2,7,1,7,6,ECCDH,AES[128]
516.txt,1048575,1,2,6,1,8,6,ECCDH,AES[128]
1344.txt,1048575,1,2,6,1,7,6,ECCDH,AES[128]
56.txt,1048575,1,2,6,1,7,6,ECCDH,AES[128]
1302.txt,1048575,1,3,6,1,7,6,ECCDH,AES[128]
791.txt,1048575,1,3,6,1,7,6,ECCDH,AES[128]
1378.txt,1048575,1,10,23,1,12,8,ECCDH,AES[128]
304.txt,1048575,1,2,6,1,7,6,ECCDH,AES[128]
423.txt,1048575,1,2,6,1,7,6,ECCDH,AES[128]
682.txt,1048575,1,2,6,1,8,6,ECCDH,AES[128]
919.txt,1048575,1,2,6,1,7,6,ECCDH,AES[128]
1447.txt,1048575,1,3,6,1,7,6,ECCDH,AES[128]
681.txt,1048575,1,2,6,1,8,6,ECCDH,AES[128]
928.txt,1048575,1,2,6,1,7,6,ECCDH,AES[128]
197.txt,1048575,1,2,6,1,7,6,ECCDH,AES[128]
102.txt,1048575,1,3,6,1,7,6,ECCDH,AES[128]
1097.txt,1048575,1,2,6,1,8,6,ECCDH,AES[128]
483.txt,1048575,1,2,6,1,8,6,ECCDH,AES[128]
